ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
12912269,JF498080,12/04/2022 05:30:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0111,001,42,32,06,1176352,1900918,2022,01/03/2023 03:40:27 PM,41.883475491,-87.627876969,"(41.883475491, -87.627876969)",22,14310,38,580,36,41,22,88
12787671,JF349287,08/06/2022 09:30:00 PM,019XX E 73RD PL,0320,ROBBERY,STRONG ARM - NO WEAPON,ALLEY,false,false,0333,003,7,43,03,1190586,1856623,2022,01/03/2023 03:40:27 PM,41.761594665,-87.577041413,"(41.761594665, -87.577041413)",32,22538,39,419,37,24,18,89
12836472,JF407203,09/23/2022 04:19:00 AM,025XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1135,011,28,28,08B,1159663,1896951,2022,01/03/2023 03:40:27 PM,41.872949786,-87.689269401,"(41.872949786, -87.689269401)",48,21184,29,756,23,28,16,146
12685294,JF225416,04/24/2022 06:00:00 PM,005XX N LAVERGNE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,STREET,false,false,1532,015,37,25,17,1142928,1903312,2022,01/03/2023 03:40:27 PM,41.890733295,-87.750553481,"(41.890733295, -87.750553481)",11,22216,26,694,45,32,25,81
12749980,JF304133,07/03/2022 05:08:00 PM,032XX W 59TH ST,0460,BATTERY,SIMPLE,STREET,false,false,0822,008,23,63,08B,1155913,1865325,2022,01/03/2023 03:40:27 PM,41.786240513,-87.703888233,"(41.786240513, -87.703888233)",49,21867,61,801,6,58,13,129
12793009,JF355641,08/13/2022 02:47:00 PM,007XX E RAINEY DR,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",PARK PROPERTY,false,false,0233,002,20,40,08B,1181907,1868291,2022,01/03/2023 03:40:27 PM,41.793817751,-87.608489948,"(41.793817751, -87.608489948)",53,22260,7,401,4,10,24,124
12643228,JF174780,03/15/2022 10:00:00 AM,058XX W HIGGINS AVE,0810,THEFT,OVER $500,STREET,false,false,1622,016,45,11,06,1136039,1933008,2022,01/03/2023 03:40:27 PM,41.972348017,-87.77514364,"(41.972348017, -87.77514364)",20,21869,11,780,50,48,12,43
12916441,JF502607,12/08/2022 11:05:00 AM,001XX W MADISON ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,true,false,0122,001,34,32,04B,1175437,1900364,2022,12/29/2023 03:40:28 PM,41.881975873,-87.631253523,"(41.881975873, -87.631253523)",22,14311,38,92,36,41,22,79
12932030,JF521742,12/24/2022 02:48:00 AM,009XX S AUSTIN BLVD,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,false,false,1513,015,29,25,08B,1136517,1895636,2022,01/03/2023 03:40:27 PM,41.869786389,-87.774281815,"(41.869786389, -87.774281815)",52,22216,26,,7,32,25,99
12788571,JF349464,08/08/2022 06:00:00 PM,055XX W DIVERSEY AVE,0460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,false,false,2514,025,30,19,08B,1138999,1918068,2022,01/03/2023 03:40:27 PM,41.931297786,-87.764623585,"(41.931297786, -87.764623585)",27,22615,19,79,21,2,6,177
